"state_dist","state_id","district","state","name","party","incumbent","first_name","last_name","unique_cand_id"
"GA12","GA",12,"Georgia","John Barrow","D",TRUE,"John","Barrow","GA12_D_Barrow"
"GA12","GA",12,"Georgia","Lee Anderson","R",FALSE,"Lee","Anderson","GA12_R_Anderson"
"GA13","GA",13,"Georgia","David Scott","D",TRUE,"David","Scott","GA13_D_Scott"
"GA13","GA",13,"Georgia","Shahid Malik","R",FALSE,"Shahid","Malik","GA13_R_Malik"
"GA14","GA",14,"Georgia","Dan Grant","D",FALSE,"Dan","Grant","GA14_D_Grant"
"GA14","GA",14,"Georgia","Tom Graves","R",TRUE,"Tom","Graves","GA14_R_Graves"
"HI01","HI",1,"Hawaii","Colleen Hanabusa","D",TRUE,"Colleen","Hanabusa","HI01_D_Hanabusa"
"HI01","HI",1,"Hawaii","Charles Djou","R",FALSE,"Charles","Djou","HI01_R_Djou"
"HI02","HI",2,"Hawaii","Tulsi Gabbard","D",FALSE,"Tulsi","Gabbard","HI02_D_Gabbard"
"HI02","HI",2,"Hawaii","Kawika Crowley","R",FALSE,"Kawika","Crowley","HI02_R_Crowley"
"IA01","IA",1,"Iowa","Bruce Braley","D",TRUE,"Bruce","Braley","IA01_D_Braley"
"IA01","IA",1,"Iowa","Ben Lange","R",FALSE,"Ben","Lange","IA01_R_Lange"
"IA02","IA",2,"Iowa","Dave Loebsack","D",TRUE,"Dave","Loebsack","IA02_D_Loebsack"
"IA02","IA",2,"Iowa","John Archer","R",FALSE,"John","Archer","IA02_R_Archer"
"IA03","IA",3,"Iowa","Leonard Boswell","D",TRUE,"Leonard","Boswell","IA03_D_Boswell"
"IA03","IA",3,"Iowa","Tom Latham","R",TRUE,"Tom","Latham","IA03_R_Latham"
"IA04","IA",4,"Iowa","Christie Vilsack","D",FALSE,"Christie","Vilsack","IA04_D_Vilsack"
"IA04","IA",4,"Iowa","Steve King","R",TRUE,"Steve","King","IA04_R_King"
"ID01","ID",1,"Idaho","Jimmy Farris","D",FALSE,"Jimmy","Farris","ID01_D_Farris"
"ID01","ID",1,"Idaho","Raul Labrador","R",TRUE,"Raul","Labrador","ID01_R_Labrador"
"ID02","ID",2,"Idaho","Nicole LeFavour","D",FALSE,"Nicole","Lefavour","ID02_D_Lefavour"
"ID02","ID",2,"Idaho","Mike Simpson","R",TRUE,"Mike","Simpson","ID02_R_Simpson"
"IL01","IL",1,"Illinois","Bobby Rush","D",TRUE,"Bobby","Rush","IL01_D_Rush"
"IL01","IL",1,"Illinois","Donald Peloquin","R",FALSE,"Donald","Peloquin","IL01_R_Peloquin"
"IL02","IL",2,"Illinois","Jesse Jackson Jr.","D",TRUE,"Jesse","Jackson","IL02_D_Jackson"
"IL02","IL",2,"Illinois","Brian Woodworth","R",FALSE,"Brian","Woodworth","IL02_R_Woodworth"
"IL03","IL",3,"Illinois","Dan Lipinski","D",TRUE,"Dan","Lipinski","IL03_D_Lipinski"
